"logFC","logCPM","PValue","FDR","ID"
7.20322160960472,9.50258850818052,1.13806318277546e-145,1.66200996346094e-142,"12089"
6.54520810637888,5.50162350362899,1.32552347336658e-74,4.57546602579354e-72,"709"
6.1037425316592,8.82899978128694,1.26216850001808e-118,1.26117205120228e-115,"12652"
6.06784984854626,4.98949768920717,1.61579084206281e-61,4.03628804428453e-59,"7341"
5.84426147546968,8.71210425222681,7.95039343112482e-113,7.18753425190023e-110,"4976"
5.78256075364488,3.52948685479424,1.64763560880371e-34,1.33676760825378e-32,"18621"
5.78147204015946,6.0832646984673,2.0780969500566e-79,8.21930637433844e-77,"1507"
5.42029461597375,5.79325853440256,9.86861018287177e-72,3.12259273869701e-69,"1836"
5.25149753014043,10.0965748076622,1.5477690831235e-105,1.17537584172399e-102,"4073"
5.16817792556225,3.08695597018216,1.45259682087238e-25,6.89438766106552e-24,"16370"
5.0341002868628,3.53479513132532,1.86977749966514e-31,1.32454200862473e-29,"4923"
4.94858070346642,7.50616577689083,6.64518474815233e-86,3.1539708110918e-83,"10259"
4.85562242536828,5.99098314232906,3.03868101537847e-68,8.74081198135761e-66,"9275"
4.84922788975081,6.7294497863053,2.61640212306961e-76,9.73968515813264e-74,"4523"
4.83592830180756,5.19000772241248,2.24040714573084e-56,4.52490741081914e-54,"816"
4.82520243683114,7.10558963374485,1.889273710562e-79,7.63145987128077e-77,"12615"
4.74930898177632,7.38453522338569,4.35191852701292e-81,1.79611246163783e-78,"6846"
4.71444375254523,7.08553024051578,3.24953061823607e-78,1.259027322188e-75,"3958"
4.66725632279284,5.73592419615602,8.1537348591597e-63,2.09187373379928e-60,"8819"
4.58749147153426,3.98913087517838,1.30017505129292e-36,1.16433129003755e-34,"10493"
4.55049266646024,6.09161291668689,1.71588717306734e-65,4.58818563108218e-63,"6156"
4.50907327238568,8.76016245348913,1.37550672800461e-83,5.93499891617445e-81,"7660"
4.38491621400851,3.06715384564717,3.99164933660022e-22,1.47434752247773e-20,"1463"
4.38101484767155,7.03184311324223,1.98635493775214e-71,6.18212270380727e-69,"4564"
4.36019714056239,3.4527042207689,2.5540944855138e-27,1.38938349018566e-25,"10170"
4.21410489361969,5.18225259097112,3.13418498032502e-50,4.95854182095588e-48,"349"
4.16940886721177,6.040392905987,3.19897267388557e-59,7.31716821852019e-57,"1062"
4.16927479466817,3.95024941201173,7.06995194144629e-34,5.5694206476497e-32,"11690"
4.09872115470599,3.75384105758336,1.42873604134619e-30,9.68734062319909e-29,"12487"
4.06985764343667,3.59593339363432,3.11347793539892e-28,1.81317112280823e-26,"6097"
4.04868844584019,4.36209569505533,3.76752048628374e-38,3.82493991615491e-36,"2441"
4.04508567151352,3.06037551162758,8.5331557468616e-21,2.79796134463156e-19,"10697"
4.0366409680833,4.09749354747892,1.49361968905924e-34,1.22225731882715e-32,"5334"
3.97254319854775,3.34088870003002,4.82469681938082e-24,2.07702651056564e-22,"8517"
3.91622851428049,5.60557564396401,2.58670568821294e-51,4.42419887303807e-49,"5237"
3.90885221697263,6.45608845153344,1.51470657288235e-58,3.42341717692518e-56,"3168"
3.89346662192932,5.9384330158909,2.99373486939967e-54,5.57216240152478e-52,"9543"
3.88555757133161,5.97685083256346,1.92328813238912e-54,3.61521041518886e-52,"10767"
3.88134441160604,3.90441626953223,3.46037058404303e-31,2.41526233595797e-29,"10707"
3.86292909465283,3.74160623668263,1.36831911986784e-28,8.11798077834089e-27,"7880"
3.84873418443325,8.87555219716,2.55049822140598e-68,7.44941672821424e-66,"12219"
3.84402001225288,3.33126673933826,6.03414752017257e-23,2.32842054208285e-21,"7564"
3.8294845778952,4.84597539079415,3.90422792641001e-42,4.75139533223679e-40,"3584"
3.81155614680363,7.18009986334038,1.76862907848119e-61,4.36070429285266e-59,"9191"
3.80594797146605,6.55158038640941,8.23045404435466e-58,1.79603643715027e-55,"7156"
3.73574156868778,5.04887817949402,3.9889543161184e-43,5.04868651276718e-41,"2937"
3.70902319858594,4.91635394510381,1.61910213149816e-41,1.92116587290578e-39,"14401"
3.6896341062648,4.69689460729943,1.30307579550554e-38,1.35927988888311e-36,"16437"
3.61859854251599,4.00200034980128,3.35340404431134e-30,2.19532330280175e-28,"8598"
3.59994166921342,6.88205677565631,7.60820417331914e-56,1.50460162740066e-53,"7907"
3.56970562516718,6.20168827007599,5.52353298550812e-51,9.04002359740272e-49,"1774"
3.56545290794665,2.78699955488268,6.82244699969841e-16,1.52921081805519e-14,"4036"
3.54860081289427,2.88549325560383,1.47369099611974e-16,3.51482708056951e-15,"1278"
3.54250513069377,4.25471896593302,2.73277730387772e-32,2.01874619121084e-30,"2081"
3.54119852153539,4.59371564978379,2.54997284017555e-36,2.26220721358565e-34,"4618"
3.50235728630541,2.99202739771809,1.5975731814563e-17,4.09863876350647e-16,"16091"
3.4422305027988,4.36695867516771,2.16102829445295e-32,1.62162538222092e-30,"6059"
3.43541544653028,2.27906708966065,7.37659277452272e-10,8.72008803389251e-09,"9930"
3.41668251365129,4.70035828326423,5.06984105177123e-36,4.43552683722934e-34,"3960"
3.409219344433,4.34017559384089,2.46044229167998e-32,1.831823408139e-30,"10864"
3.40764245099427,2.70529881190659,1.64011113001157e-14,3.20015516991466e-13,"18845"
3.40518855843997,2.90332070134169,4.51692941434313e-16,1.03442587371899e-14,"369"
3.39092531070117,7.69145450183036,8.71567680970754e-55,1.67138509325553e-52,"532"
3.36889773663213,3.32882730208159,3.91816285539047e-21,1.32124905523247e-19,"10034"
3.34633249112726,4.39138009310693,8.03254706787528e-32,5.75463796541933e-30,"9542"
3.3384049922018,2.98809957503402,1.38485397591511e-16,3.30710097267275e-15,"5049"
3.33836863528469,4.05932133418502,9.37997578394381e-29,5.65329651613249e-27,"3998"
3.3339538845181,3.75733326314974,3.66524614952624e-25,1.67270909011432e-23,"7595"
3.33382062946948,4.74722991322776,1.3443947433437e-35,1.16015155465364e-33,"3246"
3.33027277799669,4.06092528320644,3.54093449887098e-28,2.04953175186176e-26,"8231"
3.32758887955739,4.90246390625964,7.93101630024852e-37,7.27392968406851e-35,"251"
3.3097195418283,4.27228360518123,2.49133035110798e-30,1.65377296209039e-28,"1594"
3.30031417692704,2.92617640979577,2.14179994110723e-16,5.04492206971721e-15,"10817"
3.29323309277301,5.03207829909769,1.27605491758266e-37,1.24875786651066e-35,"1527"
3.28683255257075,6.58123532026409,1.55282114187851e-48,2.35842475028509e-46,"6163"
3.26504693845041,4.14282571674957,9.46365414049542e-29,5.68567955244638e-27,"7445"
3.26466715571821,2.92356483670641,2.88493844132323e-16,6.6956670303816e-15,"11832"
3.26086590593671,2.07655760644674,3.9122984225126e-08,3.73804658034231e-07,"18242"
3.24287413370995,7.81685699707337,6.57665980462751e-52,1.1350716944623e-49,"5193"
3.23640029522918,3.21829428914708,4.16146102806556e-19,1.20251655430479e-17,"1643"
3.23589759913048,5.61441650001949,1.74661279020587e-41,2.05959278397878e-39,"5335"
3.21906000139574,2.56378934363486,3.49341653759084e-12,5.39646159203922e-11,"9972"
3.19264066988129,4.3148418016065,1.30863650360689e-29,8.28148800699229e-28,"5802"
3.18499803049624,4.23707877890038,4.66110243050593e-29,2.86378736709239e-27,"6185"
3.18129013521173,6.92608176572854,1.23603542871529e-47,1.79130783314197e-45,"412"
3.16694095600257,8.02059178151654,1.14920871079e-50,1.84895994697865e-48,"7234"
3.16675070219417,4.19626094885692,3.55366865607731e-28,2.05065043877288e-26,"9256"
3.16337400882944,4.8248816090293,3.16862092314454e-34,2.53823916564975e-32,"12011"
3.16244968632764,2.91927545772744,2.17954628469534e-15,4.6440725269294e-14,"11434"
3.15225513832277,5.15590041035868,6.28068176575402e-37,5.81652406452879e-35,"13626"
3.13275960137879,4.31334992436993,4.49133256685155e-29,2.76843989550898e-27,"1003"
3.11309788175104,2.02352495406146,2.26400531379673e-07,1.94577369318384e-06,"17643"
3.11153404329364,7.33300215069462,1.21114341408983e-47,1.76873520896118e-45,"6150"
3.11062197003997,2.59724124574835,8.16499421271272e-12,1.21008911107222e-10,"1708"
3.10958978117638,3.72092142387992,3.94850286539233e-23,1.54243470986571e-21,"9756"
3.10813835840426,2.80161701154835,2.92706604434423e-14,5.57375615364847e-13,"6368"
3.08169984312287,4.03522413435579,5.85081284386823e-26,2.89264796460517e-24,"13517"
3.07599530732827,2.01587650576149,2.85350135589404e-07,2.40879160700971e-06,"16522"
3.07480502260814,4.15716163607607,2.30785959251363e-27,1.26267188368505e-25,"2126"
3.07411315516615,4.06906789640858,4.25093044611493e-26,2.11821297951422e-24,"8652"
3.0623197893921,4.37264332901936,7.4326885623395e-29,4.49393606229349e-27,"4005"
3.04024061563831,4.95062315715467,8.48444799708036e-34,6.62869321911814e-32,"5741"
3.01849839938587,4.01877241060548,4.67959134887863e-25,2.12540769757083e-23,"1730"
3.00965097478705,4.05665336375711,8.01565326211224e-26,3.90197890208207e-24,"16858"
3.00173744272336,3.72409520287615,1.50624312784391e-22,5.68509458888997e-21,"1983"
3.00141033703134,3.71389843999153,2.28197614088955e-22,8.49476804603688e-21,"247"
2.99877270498599,4.13189401204051,2.59599721109278e-26,1.3107714641648e-24,"6834"
2.99667388194653,5.17219783651123,7.94541563388245e-35,6.64509761274266e-33,"3171"
2.99382173355624,3.99873584691178,1.17504720613502e-24,5.2244194867619e-23,"4850"
2.98528292030879,3.27214174400625,5.86885800787564e-18,1.57151296586063e-16,"13062"
2.97930930408528,3.22394614355819,1.08449530433276e-17,2.82429949969239e-16,"6909"
