"logFC","logCPM","PValue","FDR","ID"
-7.98988674059053,2.72404265634039,0,0,"18694"
-6.22960026885398,1.98200252998052,6.07453854099294e-144,8.2375081571965e-141,"17351"
-4.21238063875331,6.72383087667906,4.76673236340915e-301,4.52482069596614e-297,"13270"
-4.03040374580802,5.83665934331179,7.26575437439776e-258,4.59801155993139e-254,"16656"
-4.00064164155289,5.09355669343408,2.86065365164877e-234,1.08619019153104e-230,"6780"
-3.97840025109914,5.64612439398099,7.21186480473543e-245,3.42293133294755e-241,"844"
-3.93778754590591,3.15795674719899,1.70096309591107e-146,2.93570767053378e-143,"9652"
-3.81018736752274,4.35494980613171,2.00758103718869e-183,6.35232099850456e-180,"11641"
-3.66651565714787,4.01816335939964,4.26019718943689e-154,8.08798436414593e-151,"11507"
-3.64640852674593,4.55625668802086,2.61796823096205e-171,5.52245854053495e-168,"9427"
-3.33697600211179,11.4049899312219,1.67416785027424e-182,4.54058237677949e-179,"4455"
-3.31109239125755,3.47711840905378,1.19182072844142e-110,1.02848711497547e-107,"16840"
-3.25249192443809,11.5673048096115,1.31572574415014e-171,3.12238165658631e-168,"11970"
-3.24796522045133,3.46517193683554,5.57621838328172e-106,4.41102108360847e-103,"9796"
-3.19636693731717,2.76468230958405,8.70319290827954e-76,3.17750225699398e-73,"7567"
-3.19397979778029,3.52231524562142,8.71509479429358e-104,6.12800276554309e-101,"9241"
-3.19110938008989,3.89013105767443,2.84436558747071e-114,2.70001403390657e-111,"5931"
-3.16776706271952,2.60550638577248,6.91871014964739e-68,1.96047331628441e-65,"5723"
-3.15934895189284,6.10926997611089,8.48166285320873e-146,1.3418697439014e-142,"12616"
-3.09782442015322,4.2321246570333,1.35646819183155e-108,1.11967602704008e-105,"3452"
-3.08321105292478,6.84324045087187,1.03227009392743e-142,1.30650984888081e-139,"15644"
-3.06884255812448,3.33429933124145,4.4511152137487e-88,2.22380058771103e-85,"160"
-3.06409381632671,2.53998677437663,1.15107046389783e-59,2.6650088728171e-57,"2584"
-3.05367458434773,2.51350373661444,9.64243655197423e-58,2.0802461129458e-55,"6658"
-3.03855434669213,4.09965133347289,3.61710897181051e-100,2.28902712766075e-97,"12373"
-3.01589661994731,5.88234345458372,2.72768809542838e-128,3.23657240573174e-125,"330"
-3.00353816959771,3.41381054886772,1.15051434957537e-86,5.60064485299704e-84,"4216"
-2.99533470397064,1.91625415619137,3.63187818639531e-30,2.36945729789399e-28,"18498"
-2.98967948460034,4.00006445071435,2.32444085820278e-101,1.52170723079241e-98,"4441"
-2.96060117816878,5.80006550914245,7.82505635585084e-122,8.7387467597546e-119,"350"
-2.93507753677464,2.59750087084274,2.46104645045066e-56,4.91820703808483e-54,"15551"
-2.90282488034418,4.56600257235484,1.51064980547926e-99,9.25151179258833e-97,"15434"
-2.89330166634151,2.48086011429914,6.64096137319013e-50,1.03343157106569e-47,"217"
-2.85016620221064,3.37704168745717,4.57000999064456e-75,1.63701206929032e-72,"3749"
-2.84997934412575,2.29274246535188,2.36227561705761e-41,2.76838287591597e-39,"10519"
-2.84244121319732,7.28408291762756,3.93931391490795e-119,4.15488192636264e-116,"2716"
-2.80794875245226,3.11384030150876,2.92578909137886e-66,8.05016027533735e-64,"8379"
-2.79630916655243,4.76412158756687,6.45116295380532e-94,3.60221554935276e-91,"9822"
-2.76105758376637,2.27755086374929,5.23752581200941e-38,5.23339092321046e-36,"4482"
-2.75861010211023,6.04713555309636,7.7300888531626e-105,5.64445141835738e-102,"6798"
-2.7073464024123,3.58556429440462,5.32172395280291e-72,1.7124225295587e-69,"9219"
-2.70408787160637,5.48961699039102,3.70156139892349e-95,2.12951948965341e-92,"784"
-2.6863789973064,3.88680111004343,1.5483329381218e-76,5.87902016604848e-74,"154"
-2.67978780483162,4.70602805714294,4.29581225599591e-84,1.8966510623275e-81,"380"
-2.67528272264,7.31349404430634,3.48211888538823e-103,2.36100096568198e-100,"3798"
-2.67059607824426,5.51405326507281,1.05075540724271e-92,5.69959754471512e-90,"1735"
-2.67047880926712,6.36667406878701,7.7100615561335e-99,4.57423495759983e-96,"1218"
-2.66252912684433,5.17173813057958,1.79904354586105e-88,9.23103830220867e-86,"12425"
-2.65105214524593,3.8304598458397,6.75098172932911e-73,2.20978255398816e-70,"5572"
-2.64115993147192,2.72600864141053,1.53204329961364e-47,2.20347288205795e-45,"13240"
-2.63708738512354,2.77848186979876,1.68413366819828e-48,2.53756172148765e-46,"3382"
-2.63049614246643,3.48494774117103,4.23044100370996e-65,1.11548503410324e-62,"6635"
-2.62846262121886,5.02827416813422,2.28168748717137e-84,1.03137707009401e-81,"5314"
-2.59335003883526,4.13028176722417,3.09285883864991e-74,1.03013903599594e-71,"12783"
-2.57833087725632,1.65563115343419,8.73617805222237e-14,1.59171151939963e-12,"16494"
-2.56008056380742,3.26763860558506,7.56088701869487e-57,1.56025478315133e-54,"12488"
-2.55933056376382,7.19158216570357,1.14013986199257e-92,6.0126542444247e-90,"5559"
-2.53823028372903,3.11055066530834,4.01921568723813e-52,7.06526016872369e-50,"8916"
-2.53302954082414,2.55951235690648,2.57531032838713e-38,2.6571884013277e-36,"4126"
-2.53168472399779,4.02158813981915,1.9655357666887e-68,5.83057758290389e-66,"4886"
-2.51674366696858,2.51908481161996,9.87627520122581e-37,8.92862308072724e-35,"5040"
-2.51441629092037,5.919098661392,2.8654059950179e-83,1.20888295145366e-80,"5762"
-2.49738103728371,2.60108126797744,5.8411355095313e-39,6.30079304820749e-37,"8514"
-2.48806565548486,1.94590392203668,1.31513916358088e-20,4.25347819771432e-19,"15510"
-2.48626383997058,1.96958108194654,5.39929609006944e-21,1.79834449596436e-19,"6206"
-2.47921909581513,4.78509476808548,7.23250533497456e-71,2.21466312555632e-68,"10818"
-2.46992996274678,2.96224460191513,6.1542018169706e-46,8.59099422758727e-44,"7759"
-2.46744428035714,4.71671190588482,2.42710697706606e-69,7.31406761263479e-67,"9000"
-2.45621771973809,1.99820714704648,1.04864543499157e-21,3.77055560290057e-20,"12106"
-2.45204391118593,8.15249697089175,1.24546931535248e-85,5.76713047608945e-83,"9974"
-2.44030081717839,2.15972355162343,1.16426948026045e-25,5.59586229942905e-24,"3618"
-2.43637193294159,1.64521577346604,1.023280607274e-11,1.49553366659715e-10,"2098"
-2.40909820435096,5.85036763370904,1.08897047811839e-74,3.82853787538474e-72,"5946"
-2.40628463792246,3.03787508298999,1.56379610706068e-44,2.10557936826574e-42,"2361"
-2.3927496775359,4.95308389293958,3.52869701508843e-67,9.85181071050793e-65,"9724"
-2.38837467762798,3.22583616366729,3.98880192406151e-47,5.69378981415848e-45,"10207"
-2.38447375949087,3.00787583616742,3.56858930815092e-43,4.54695758491579e-41,"13112"
-2.3806284856761,6.16368555866705,1.60742581033095e-74,5.44946053734519e-72,"6367"
-2.36703894265073,2.7355921447144,1.11476766406151e-36,1.00302673470179e-34,"13499"
-2.36346232064001,3.07504084308396,1.16347347967053e-43,1.5339266674684e-41,"7890"
-2.36341719783217,3.96534732665327,1.90731611916601e-57,4.02337739137407e-55,"7941"
-2.35867010164305,3.52359515072296,4.20270971695703e-51,6.99898631372186e-49,"5989"
-2.33923717816629,1.97879113310981,1.50731930350878e-18,4.16542314077354e-17,"9157"
-2.33713619609723,2.1918722432659,1.68735330043865e-23,6.75831274447844e-22,"8857"
-2.31412212339563,4.6097742324458,1.89321643613622e-58,4.2285545929466e-56,"55"
-2.31115996393851,3.8160851965582,7.76323095058637e-53,1.39042395846115e-50,"9890"
-2.31059666311768,4.51620808264519,1.64092105461315e-57,3.5003242945877e-55,"11289"
-2.28701913133256,2.74233946122939,5.9229057509359e-34,4.68526523672992e-32,"3820"
-2.27722541367268,4.17792092200812,2.82127495212236e-55,5.52184587278795e-53,"10198"
-2.27675587569143,3.79001229289738,7.8457072082469e-51,1.27308334485955e-48,"678"
-2.27502528127647,3.30175595095253,1.46708462248599e-43,1.92086907295839e-41,"3592"
-2.26618733446508,3.32856717931439,1.08892194882548e-43,1.44567714674488e-41,"5740"
-2.26152093166082,4.70936462119928,1.52095590051518e-56,3.10487610443878e-54,"11746"
-2.26146949633001,4.01669794054872,7.59396503584838e-53,1.37306120195792e-50,"1417"
-2.25449225727071,3.05590551921031,8.54890390193016e-39,9.11803036955865e-37,"1023"
-2.25031976342839,3.17396867227621,2.2191790174931e-40,2.46380781562026e-38,"5827"
-2.2465778373812,6.32395130360102,9.81733106814077e-66,2.66260043326646e-63,"2284"
-2.24277198478257,4.88435658197116,5.03677953473345e-57,1.05080504908697e-54,"4252"
-2.23684944065888,5.5267232773423,2.61614918978483e-61,6.28703700861583e-59,"10016"
-2.23525382215213,5.74427491095385,2.2502712801212e-62,5.69618670041346e-60,"10559"
-2.23226903694914,2.49170434692678,1.40241124914713e-27,7.80785265837488e-26,"6196"
-2.22855251435178,2.47932171804549,3.46051234316084e-27,1.86641553508263e-25,"9816"
-2.22408642341833,3.61236144994884,1.10018845281879e-45,1.5246042172821e-43,"10216"
-2.21870160188585,5.56969403623535,2.51021891009252e-60,5.88351926026006e-58,"14268"
-2.21542812554464,1.9901142398984,7.55954705986942e-17,1.85184517331124e-15,"12204"
-2.21344378003119,2.22130598778973,1.63900808452199e-21,5.76232749715739e-20,"5447"
-2.2045452664693,3.88132784024431,5.65810733417634e-48,8.45820218419983e-46,"10407"
-2.20442683194421,1.99194170436506,1.00625258400465e-16,2.42740855239242e-15,"16209"
-2.20374921944423,2.72675465196242,6.92850789352327e-31,4.78318990394688e-29,"16983"
-2.20297310515761,1.95434015594274,7.84909216595335e-16,1.74695210751025e-14,"14816"
-2.19274342637866,4.99608073082101,4.01405913734779e-55,7.77621558393344e-53,"5311"
-2.19130502340899,2.35836132392947,7.16433136895054e-24,3.00917767786562e-22,"18338"
